Year,Month,Day,temp,05-Feb,05-Mar,06-Feb,06-Mar
2005,Feb,1,26.6,26.6,28.1,33.3,26.1
2005,Feb,2,26.7,26.7,27.8,29.3,26
2005,Feb,3,30.4,30.4,27.5,31.2,21.7
2005,Feb,4,29.7,29.7,28.7,28.4,24.6
2005,Feb,5,28,28,31.7,25.4,24.8
2005,Feb,6,25.5,25.5,32.2,24.9,22.9
2005,Feb,7,22.4,22.4,25.4,28.1,19.5
2005,Feb,8,25.3,25.3,23.2,28.9,22
2005,Feb,9,26.8,26.8,25.4,24.6,19.7
2005,Feb,10,28,28,29.9,25.4,19.3
2005,Feb,11,28,28,27.4,32.4,18.2
2005,Feb,12,27.5,27.5,27.3,27.8,21
2005,Feb,13,28.7,28.7,29.1,30.3,23.8
2005,Feb,14,25.8,25.8,27,27.2,22.9
2005,Feb,15,28.4,28.4,28.4,26.1,23.6
2005,Feb,16,29,29,30.3,30,21.3
2005,Feb,17,30,30,32.7,25.4,22.7
2005,Feb,18,30.3,30.3,24.2,22.8,25.6
2005,Feb,19,29.9,29.9,27.6,27.4,24.3
2005,Feb,20,30.5,30.5,26.8,29.3,25.2
2005,Feb,21,30.5,30.5,28.3,28.2,25.8
2005,Feb,22,29,29,27.8,28.7,23.7
2005,Feb,23,22.3,22.3,29.3,30.4,22.1
2005,Feb,24,24.6,24.6,32.4,25.8,23.2
2005,Feb,25,25.2,25.2,23.6,30.2,24.6
2005,Feb,26,26.5,26.5,25.5,32.2,26.8
2005,Feb,27,26.7,26.7,25.3,33.8,23.7
2005,Feb,28,26.8,26.8,25,26.2,23
2005,Feb,29,,,26.3,,25
2005,Feb,30,,,26.4,,23.5
2005,Feb,31,,,23.2,,24.3
2005,Mar,1,28.1,,,,
2005,Mar,2,27.8,,,,
2005,Mar,3,27.5,,,,
2005,Mar,4,28.7,,,,
2005,Mar,5,31.7,,,,
2005,Mar,6,32.2,,,,
2005,Mar,7,25.4,,,,
2005,Mar,8,23.2,,,,
2005,Mar,9,25.4,,,,
2005,Mar,10,29.9,,,,
2005,Mar,11,27.4,,,,
2005,Mar,12,27.3,,,,
2005,Mar,13,29.1,,,,
2005,Mar,14,27,,,,
2005,Mar,15,28.4,,,,
2005,Mar,16,30.3,,,,
2005,Mar,17,32.7,,,,
2005,Mar,18,24.2,,,,
2005,Mar,19,27.6,,,,
2005,Mar,20,26.8,,,,
2005,Mar,21,28.3,,,,
2005,Mar,22,27.8,,,,
2005,Mar,23,29.3,,,,
2005,Mar,24,32.4,,,,
2005,Mar,25,23.6,,,,
2005,Mar,26,25.5,,,,
2005,Mar,27,25.3,,,,
2005,Mar,28,25,,,,
2005,Mar,29,26.3,,,,
2005,Mar,30,26.4,,,,
2005,Mar,31,23.2,,,,
2006,Feb,1,33.3,,,,
2006,Feb,2,29.3,,,,
2006,Feb,3,31.2,,,,
2006,Feb,4,28.4,,,,
2006,Feb,5,25.4,,,,
2006,Feb,6,24.9,,,,
2006,Feb,7,28.1,,,,
2006,Feb,8,28.9,,,,
2006,Feb,9,24.6,,,,
2006,Feb,10,25.4,,,,
2006,Feb,11,32.4,,,,
2006,Feb,12,27.8,,,,
2006,Feb,13,30.3,,,,
2006,Feb,14,27.2,,,,
2006,Feb,15,26.1,,,,
2006,Feb,16,30,,,,
2006,Feb,17,25.4,,,,
2006,Feb,18,22.8,,,,
2006,Feb,19,27.4,,,,
2006,Feb,20,29.3,,,,
2006,Feb,21,28.2,,,,
2006,Feb,22,28.7,,,,
2006,Feb,23,30.4,,,,
2006,Feb,24,25.8,,,,
2006,Feb,25,30.2,,,,
2006,Feb,26,32.2,,,,
2006,Feb,27,33.8,,,,
2006,Feb,28,26.2,,,,
2006,Feb,29,,,,,
2006,Feb,30,,,,,
2006,Feb,31,,,,,
2006,Mar,1,26.1,,,,
2006,Mar,2,26,,,,
2006,Mar,3,21.7,,,,
2006,Mar,4,24.6,,,,
2006,Mar,5,24.8,,,,
2006,Mar,6,22.9,,,,
2006,Mar,7,19.5,,,,
2006,Mar,8,22,,,,
2006,Mar,9,19.7,,,,
2006,Mar,10,19.3,,,,
2006,Mar,11,18.2,,,,
2006,Mar,12,21,,,,
2006,Mar,13,23.8,,,,
2006,Mar,14,22.9,,,,
2006,Mar,15,23.6,,,,
2006,Mar,16,21.3,,,,
2006,Mar,17,22.7,,,,
2006,Mar,18,25.6,,,,
2006,Mar,19,24.3,,,,
2006,Mar,20,25.2,,,,
2006,Mar,21,25.8,,,,
2006,Mar,22,23.7,,,,
2006,Mar,23,22.1,,,,
2006,Mar,24,23.2,,,,
2006,Mar,25,24.6,,,,
2006,Mar,26,26.8,,,,
2006,Mar,27,23.7,,,,
2006,Mar,28,23,,,,
2006,Mar,29,25,,,,
2006,Mar,30,23.5,,,,
2006,Mar,31,24.3,,,,
